id,x_25833,y_25833,d_k1_mean_m,d_k3_mean_m,d_k5_mean_m,d_k10_mean_m,rmse
LFU_34416018,341562.0,5824310.0,2737.3704535557476,2945.0789885685713,3571.778210648384,4520.75323149735,0.42906851591815837
LFU_34426005,347285.0,5828545.0,2678.154028430777,2777.24273175406,3085.4269482814752,4539.163219499435,1.2614364945578713
LFU_34426101,345862.0,5822076.0,0.0,1134.6606858785822,2101.2070903805334,3791.55053866566,0.18126663990327568
LFU_34447010,371650.0,5826900.0,2335.565884320115,4198.938462852654,5383.298127146544,7933.274701003848,0.15341415284925025
LFU_34447012,367311.0,5825481.0,2112.8653530218153,4235.4126308387495,5790.367501079809,8248.049726961088,0.5039785828828185
LFU_34447013,370369.0,5823137.0,4533.167766584423,5963.288240782309,7034.132431530132,9234.607495021299,0.19011923399558736
LFU_34447060,365201.0,5825591.0,0.0,3710.892960696954,5290.399167628688,8344.177543009948,0.31936251663291115
LFU_34447061,365201.0,5825591.0,0.0,3710.892960696954,5290.399167628688,8344.177543009948,0.3203446580520033
LFU_34481534,416680.0,5823475.0,0.0,1284.8222099228792,3217.670515517705,6953.35326336057,0.3274740683655765
LFU_34505031,435905.0,5821940.0,2341.811691831775,3484.123203005547,4841.46246126435,6884.354464494549,4.606597784822589
LFU_34512427,453277.0,5827524.0,1559.7051003314698,2385.8668578557717,2794.1479181522427,3770.824083313631,0.5301187792006554
LFU_34522488,460470.0,5818769.0,0.0,907.3134947622998,1852.9614997388173,3480.0179631356646,5.642406478703911
LFU_34532503,466366.0,5824665.0,845.288116561448,920.2694846721397,1890.7357055305642,3711.118070811678,0.37381665267075437
LFU_34532512,470120.0,5821487.0,2659.807511832388,3428.9121254815414,3711.474239310017,4488.608506635436,0.570417325490196
LFU_34532517,473540.0,5816865.0,1175.858835064822,1404.1808611274598,1654.240561526117,2451.6680888703277,0.3720586981417274
LFU_35412785,339550.0,5812990.0,1811.8512632111942,3324.540918175171,5085.775636332105,7075.530720627704,0.20939088273230352
LFU_35432435,352728.0,5814613.0,8031.654499541175,8417.5996611225,9341.792706975913,11007.89173099722,0.8581423090645344
LFU_35432590,360982.0,5815667.0,7414.516707109102,8376.090904920455,8816.623633072091,10761.792586853826,1.522031267763038
LFU_35442250,365845.0,5808356.0,0.0,283.7513809145578,1996.0352667602324,4810.938082310751,0.7544983070111544
LFU_35442253,366787.0,5807871.0,905.0729252386241,1107.493438336427,2485.1993661467554,4732.984787907413,1.813540171675824
LFU_35532630,473952.0,5815442.0,1099.5931065626048,1318.773212478626,1836.517382592275,2604.1494423352297,0.48163525641819077
LFU_35532632,472121.0,5812004.0,628.2873546395789,1368.9928083915513,1830.8433891410168,3150.1389834476095,1.0734606879137254
LFU_36412060,335030.0,5805587.0,0.0,2079.980795851517,4633.29764633738,7940.2564930082835,0.0654540291711085
LFU_36413850,335810.0,5799396.0,0.0,3334.0048937240476,4318.768113790701,6984.522921699451,5.2505123121686665
LFU_36441935,371610.0,5796294.0,1675.3674223882952,2791.5336924664357,3648.4568581596977,4692.822571124858,0.9133248463714648
LFU_36441944,366818.0,5797858.0,1618.511044139026,1618.511044139026,2474.206985274198,4260.745669191543,1.0919361800034677
LFU_36441946,374568.0,5800564.0,3165.615264052156,3190.5855733147164,3449.036697024999,4054.36136770838,0.21490384143312213
LFU_36441970,370356.0,5804191.0,0.0,1113.3769934070806,1811.9318371171655,3458.9643148266596,0.41402847018513317
LFU_36441971,370356.0,5804191.0,0.0,1113.3769934070806,1811.9318371171655,3458.9643148266596,0.408602762102473
LFU_36441990,369869.0,5806432.0,2293.305474636992,2976.1892468570186,3519.90156571123,4183.273918163975,1.4285893837969705
LFU_36451340,381626.0,5796424.0,0.0,841.5631619525392,2028.2345141557694,3488.271256757375,0.18947200634781902
LFU_36471636,402647.4,5805253.0,1.9416487839373293,4426.538085512846,7086.523126714897,10037.363838504516,0.27818030225014956
LFU_36500580,433091.94,5801023.76,1627.2900594550074,6079.215008578586,7997.208483935481,11159.556374516384,0.2957084978347123
LFU_36532663,469479.0,5799389.0,301.01494979485653,443.785423829265,692.9944192713629,1753.7887863762473,0.2983406494795607
LFU_36532664,469630.0,5799271.0,117.88553770501282,358.92191412114863,707.1373891043174,1807.9394045570225,0.33933433488920334
LFU_37413760,333936.0,5791804.0,2964.5360513915157,3121.6326862647306,3905.8612905313107,5270.840731567188,2.3695428976061432
LFU_37413820,333736.0,5795234.0,0.0,2340.787521801631,3282.262538407401,5931.683787569668,0.8604410528899846
LFU_37431615,358656.0,5788816.0,0.0,40.23403755252234,1036.0604843463993,2977.060986997482,0.2820033352700391
LFU_37441817,370205.0,5789829.0,0.0,2150.339520047252,2838.1175597601946,4258.873984845335,0.952775474000259
LFU_37441853,364433.0,5792619.0,2462.100119816414,3669.5009929266853,4424.957593945829,5657.857549073617,1.8900989852906118
LFU_37451300,375070.0,5795220.0,2808.50013352323,3026.0640561989967,3215.0289581120533,3671.2802862752665,0.686043744800212
LFU_37451902,376948.0,5792602.0,0.0,942.7584231628188,1867.451044058976,2851.5817430466263,0.14130862177981884
LFU_37465064,388103.99,5787976.04,5795.168895010775,6713.782166617047,7194.986520824519,8600.057405031397,1.517340387790414
LFU_37471699,406691.92,5792922.28,1461.25477751118,2934.7992027880755,5861.360615300653,9900.569429832996,0.4867894267859618
LFU_37529010,462471.0,5788174.0,1452.2399939403956,2141.861970728576,4747.804177360318,7006.720614145478,0.14039146129674884
LFU_37529019,459372.0,5787215.0,717.9811975253948,3273.0972504027122,6043.55396774037,8589.512628221808,1.559640010759615
LFU_37539048,472515.0,5787257.0,227.79376637651873,917.4855497757867,1497.9742087662084,2495.682887950065,0.5362076188323719
