log,run,valid_pairs,skipped,RMSE,nRMSE,NSE_pooled,NSE,NSE_id_median,NSE_id_p25,NSE_id_p50,NSE_id_p75,NSE_id_mean,NSE_id_count,NSE_hw,RMSE_hw,nRMSE_hw,MAE,AbsErr_P95,AbsErr_P99,AbsErr_Max,nRMSE_pw,RMSE_pw,NSE_pw,n_dates,n_train_wells,n_holdout_wells,dkl_latent_dims,dkl_train_steps,gp_ls,gp_os,gp_noise,dkl_best_mll,y_mean,y_std
gw-ms-km-ss45.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss45__multiseed_km_gps3__predobstrain,852.0,76.0,4.2467,0.1222,0.9752,0.9752,-37.921,-181.7153,-37.921,-5.2276,-890.1799,48.0,,,,2.2258,13.338,17.5072,18.5819,4.6328,1.2221,-37.921,,,,,,,,,,,
gw-dec-km-ss46.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,8.7119,0.2076,0.9045,0.9045,-41.2048,-429.4735,-41.2048,-4.8918,-3305.4002,49.0,-30.578,0.9589,4.0701,3.8377,20.608,46.8354,50.0141,4.3955,1.3183,-41.2048,,,,,,,,,,,
gw-ms-km-ss46.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46__multiseed_km_gps1__predobstrain,852.0,76.0,8.5099,0.2028,0.9088,0.9088,-70.4098,-701.8909,-70.4098,-9.8678,-3464.6375,49.0,,,,4.0894,16.6868,46.9064,48.7357,6.406,1.5374,-70.4098,,,,,,,,,,,
gw-ms-km-ss46.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46__multiseed_km_gps2__predobstrain,852.0,76.0,8.4954,0.2024,0.9092,0.9092,-76.1133,-699.6665,-76.1133,-10.2649,-3451.9198,49.0,,,,4.0822,16.7181,46.8349,48.8267,6.6569,1.5976,-76.1133,,,,,,,,,,,
gw-ms-km-ss46.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss46__multiseed_km_gps3__predobstrain,852.0,76.0,8.5229,0.2031,0.9086,0.9086,-73.7036,-701.0585,-73.7036,-10.2129,-3473.6552,49.0,,,,4.0728,16.7948,47.5372,49.2067,6.447,1.4538,-73.7036,,,,,,,,,,,
gw-dec-km-ss47.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss47__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,11.5419,0.3538,0.783,0.783,-54.5739,-459.5648,-54.5739,-7.2387,-4296.8521,45.0,-43.2425,0.8567,5.7728,5.514,24.3196,49.1419,53.1296,7.1458,0.8581,-54.5739,,,,,,,,,,,
gw-ms-km-ss47.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss47__multiseed_km_gps1__predobstrain,3696.0,240.0,10.7519,0.3296,0.8117,0.8117,-132.8239,-1419.7258,-132.8239,-13.5273,-5589.9803,45.0,,,,5.7785,24.7056,40.3221,41.2731,8.425,1.6369,-132.8239,,,,,,,,,,,
gw-ms-km-ss47.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss47__multiseed_km_gps2__predobstrain,3696.0,240.0,10.7247,0.3288,0.8126,0.8126,-138.0615,-1409.6237,-138.0615,-10.8452,-5518.0515,45.0,,,,5.7574,25.487,40.3742,41.2515,8.8057,1.5805,-138.0615,,,,,,,,,,,
gw-ms-km-ss47.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss47__multiseed_km_gps3__predobstrain,3696.0,240.0,10.7257,0.3288,0.8126,0.8126,-141.0353,-1372.5191,-141.0353,-12.0061,-5445.3188,45.0,,,,5.7528,25.0376,40.2112,41.0625,8.8491,1.5972,-141.0353,,,,,,,,,,,
gw-dec-km-ss48.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss48__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,6.8446,0.1706,0.9234,0.9234,-22.068,-483.5469,-22.068,-4.7596,-4352.9803,48.0,-22.7679,1.0676,3.8881,3.254,16.4199,34.026,36.8105,4.1704,1.0601,-22.068,,,,,,,,,,,
gw-ms-km-ss48.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss48__multiseed_km_gps1__predobstrain,3696.0,240.0,7.7886,0.1942,0.9008,0.9008,-38.4944,-668.8778,-38.4944,-10.8678,-6657.7044,48.0,,,,3.8818,15.2935,35.9816,43.288,5.1433,1.1421,-38.4944,,,,,,,,,,,
gw-ms-km-ss48.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss48__multiseed_km_gps2__predobstrain,3696.0,240.0,7.9912,0.1992,0.8956,0.8956,-46.4271,-695.1436,-46.4271,-11.068,-7159.7648,48.0,,,,3.9181,15.0694,40.6258,45.5553,5.3275,1.193,-46.4271,,,,,,,,,,,
gw-ms-km-ss48.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss48__multiseed_km_gps3__predobstrain,3696.0,240.0,7.7243,0.1926,0.9024,0.9024,-41.8385,-639.3203,-41.8385,-12.241,-6485.6038,48.0,,,,3.8696,15.3635,34.6272,43.7868,5.3046,1.2258,-41.8385,,,,,,,,,,,
gw-dec-km-ss49.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss49__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,6.6789,0.1968,0.9308,0.9308,-77.1116,-390.2834,-77.1116,-9.7551,-7195.4733,49.0,-64.1502,1.4486,6.0095,3.1092,8.1825,38.1964,40.0507,6.5255,1.6084,-77.1116,,,,,,,,,,,
gw-ms-km-ss49.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss49__multiseed_km_gps1__predobstrain,3696.0,240.0,6.7051,0.1976,0.9302,0.9302,-46.7079,-297.2755,-46.7079,-10.0275,-7700.2992,49.0,,,,3.2016,10.8817,37.9125,38.2586,6.5144,1.2838,-46.7079,,,,,,,,,,,
gw-ms-km-ss49.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss49__multiseed_km_gps2__predobstrain,3696.0,240.0,6.7462,0.1988,0.9294,0.9294,-46.9644,-274.4472,-46.9644,-6.2468,-7747.7377,49.0,,,,3.235,11.1636,37.9124,38.3472,6.648,1.2752,-46.9644,,,,,,,,,,,
gw-ms-km-ss49.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss49__multiseed_km_gps3__predobstrain,3696.0,240.0,6.6978,0.1974,0.9304,0.9304,-44.6692,-301.1782,-44.6692,-9.9336,-7696.7791,49.0,,,,3.1994,10.6751,37.9083,38.2772,6.6007,1.282,-44.6692,,,,,,,,,,,
gw-dec-km-ss50.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss50__dec_prod_hydroraum_gps1__predobstrain,3696.0,240.0,5.3715,0.1361,0.954,0.954,-71.1034,-1380.5244,-71.1034,-7.9982,-1562.3216,47.0,-65.0082,1.3784,5.8671,3.2052,15.5449,18.5034,21.1053,6.1625,1.3948,-71.1034,,,,,,,,,,,
gw-ms-km-ss50.log,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_km_f95_ss50__multiseed_km_gps1__predobstrain,3696.0,240.0,4.8515,0.1229,0.9624,0.9624,-89.4302,-643.1606,-89.4302,-9.1317,-1936.5775,47.0,,,,3.0768,11.6436,15.8502,18.1851,7.1666,1.3965,-89.4302,,,,,,,,,,,
