split,frac,ss,tag,NSE_hw,run
md50,95,42,multiseed_md50_gps1,-16.659055529411752,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__multiseed_md50_gps1__predobstrain
md50,95,42,multiseed_md50_gps2,-16.254764585338393,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__multiseed_md50_gps2__predobstrain
md50,95,42,multiseed_md50_gps3,-16.52526517130322,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss42__multiseed_md50_gps3__predobstrain
md50,95,43,coloc_pilot,-32.686451081560236,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss43__coloc_pilot__predobstrain
md50,95,43,multiseed_md50_gps1,-31.986941993441953,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss43__multiseed_md50_gps1__predobstrain
md50,95,43,multiseed_md50_gps2,-29.85029501248794,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss43__multiseed_md50_gps2__predobstrain
md50,95,43,multiseed_md50_gps3,-31.614657620289176,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss43__multiseed_md50_gps3__predobstrain
md50,95,44,coloc_pilot,-42.08956068930615,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss44__coloc_pilot__predobstrain
md50,95,44,multiseed_md50_gps1,-43.191519304351445,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss44__multiseed_md50_gps1__predobstrain
md50,95,44,multiseed_md50_gps2,-42.58440615625277,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss44__multiseed_md50_gps2__predobstrain
md50,95,44,multiseed_md50_gps3,-43.10410119546408,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss44__multiseed_md50_gps3__predobstrain
md50,95,45,coloc_pilot,-41.4897201135209,GRU_FCOV_in52_out16_ep50_bs4096_seed40_coloc_md50_f95_ss45__coloc_pilot__predobstrain
