split,feat,nRMSE_iqr,rmse_pw
rand,best_gwlk_onehot,3.6019610398542525,1.4867596675325452
rand,best_gwlk_onehot,4.295425299934827,1.8095995149863744
rand,best_gwlk_onehot,3.779496730828731,1.7633239965023977
rand,best_gwlk_onehot,4.092937755459367,1.6078779037151298
rand,best_gwlk_onehot,3.2841667238573873,1.2693060763913204
rand,best_gwlk_onehot,3.5896634484332806,1.2415852317973244
rand,best_gwlk_onehot,2.8677776655985903,1.3017104312045236
rand,best_gwlk_onehot,5.297874897792902,2.1173207105986744
rand,best_gwlk_onehot,4.875284123677925,1.7127367793514405
rand,best_gwlk_onehot,3.7014013358334057,1.5509145065429473
rand,siwa_fok,3.897614198868755,1.4682566007756916
rand,siwa_fok,3.8730724632512397,1.3801864823692944
rand,siwa_fok,3.296880504837704,1.3947044535817223
rand,siwa_fok,2.8167148762386636,1.4127837745266012
rand,siwa_fok,3.188496849901321,1.1778886413539134
rand,siwa_fok,4.1280479116322955,1.520085990257422
rand,siwa_fok,3.5165555525801375,1.4567489032498275
rand,siwa_fok,4.566112809443521,1.8016335978359552
rand,siwa_fok,4.506484381732744,1.642820870734182
rand,siwa_fok,3.333521495108724,1.2743817357854446
