run_number,objective,elapsed_s,model_prefix,RMSE_pooled,nRMSE,NSE_pooled,NSE_id_median,MAE_pooled,backend,n_inducing,pretrain_steps,jitter,max_pretrain_pts,variational_lr,hpo_name,trial,gru_run_sig,gp_run_tag,split,dir_name
53,0.3369356146013054,42.784,GRU_FCOV,7.257593138512119,0.33693561460130544,0.9000316648324942,-159.4480642525836,4.311034049687288,gpytorch,64.0,100.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v1,8.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t008,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t008__predobstrain
54,0.3374077161877391,44.135,GRU_FCOV,7.2677622066839005,0.3374077161877391,0.8997513247813943,-160.0767349618569,4.320044998818726,gpytorch,128.0,100.0,0.001,128.0,0.01,gp_gpytorch_hpo_v1,7.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t007,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t007__predobstrain
55,0.33795081838872,42.572,GRU_FCOV,7.279460628093029,0.33795081838872004,0.8994283381277567,-170.0028210987329,4.32575884135115,gpytorch,64.0,100.0,0.001,128.0,0.01,gp_gpytorch_hpo_v1,5.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t005,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t005__predobstrain
56,0.3380179161721669,42.891,GRU_FCOV,7.280905914348475,0.3380179161721669,0.899388398555963,-162.56436585770672,4.329415469164105,gpytorch,32.0,100.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v1,11.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t011,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t011__predobstrain
57,0.3395603289575755,128.855,GRU_FCOV,7.314129485746176,0.3395603289575755,0.8984681001031368,-177.38248191739976,4.354239856496435,gpytorch,32.0,100.0,0.001,128.0,0.01,gp_gpytorch_hpo_v1,1.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t001,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t001__predobstrain
58,0.4116574259866801,30.278,GRU_FCOV,8.86710095575309,0.41165742598668015,0.8507753633997621,-437.1078384820863,5.458133310487394,gpytorch,64.0,0.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v1,3.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t003,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t003__predobstrain
59,0.4116574259866801,30.229,GRU_FCOV,8.86710095575309,0.41165742598668015,0.8507753633997621,-437.1078384820863,5.458133310487394,gpytorch,128.0,0.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v1,9.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t009,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t009__predobstrain
60,0.4116574259866801,30.301,GRU_FCOV,8.86710095575309,0.41165742598668015,0.8507753633997621,-437.1078384820863,5.458133310487394,gpytorch,32.0,0.0,0.0001,128.0,0.01,gp_gpytorch_hpo_v1,10.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t010,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t010__predobstrain
61,0.4149407055927726,30.878,GRU_FCOV,8.937822798468321,0.4149407055927726,0.8483855119311827,-437.04787555738784,5.513965795922205,gpytorch,32.0,0.0,0.001,128.0,0.01,gp_gpytorch_hpo_v1,6.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t006,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t006__predobstrain
62,0.4149407055927726,32.534,GRU_FCOV,8.937822798468321,0.4149407055927726,0.8483855119311827,-437.04787555738784,5.513965795922205,gpytorch,64.0,0.0,0.001,128.0,0.01,gp_gpytorch_hpo_v1,4.0,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,gp_gpytorch_hpo_v1_t004,predobstrain,GRU_FCOV_gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42__gp_gpytorch_hpo_v1_t004__predobstrain
