trial,run_sig,objective,train_s,trained_epochs,NSE_weighted_mean_h1_16,NSE_mean_h1_16,RMSE_mean_h1_16,RMSE_weighted_mean_h1_16,NSE_h16_plotstyle,RMSE_h16_plotstyle,MAE_h16_plotstyle,status,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,hpo_name,hp.model.use_revin,hp.training.lr_scheduler.enabled
,gru_l4_h256_bs4096_seed42_ep50,,,16.0,0.8391399584200182,0.852092911339783,0.0666567480283274,0.070155096380827,0.7544720728949562,0.09111323094507266,0.07236229702507779,,,,,,,,,,,
,gru_l4_h256_bs4096_seed41_ep50,,,19.0,0.8390384677477041,0.8520197544180258,0.06804676765070147,0.07168413779763014,0.7549877777469656,0.09283579770678065,0.07335788346988298,,,,,,,,,,,
3.0,gru_small_refine_v4_t003_seed40_full_merged,0.2453051637191828,2432.345,14.0,0.8389427189442337,0.8523928557513829,0.06584114606320593,0.06934702253938008,0.7537725906488255,0.08863153183325916,0.07034354189257601,ok,236.976,2669.324,,0.2,192.0,4.0,0.000375,gru_small_refine_v4,,
2.0,gru_ablation_revin_scheduler_t002_seed40_full_merged,0.2111706760644249,1245.775,33.0,0.8389291782275095,0.8519827754789031,0.06734676611682283,0.07106076621325182,0.7618427168939582,0.09141914176137032,0.07180753105130547,ok,222.859,1468.637,,,,,,gru_ablation_revin_scheduler,False,True
4.0,gru_ablation_revin_scheduler_t004_seed40_full_merged,0.2111706760644249,1243.623,33.0,0.8389291782275095,0.8519827754789031,0.06734676611682283,0.07106076621325182,0.7618427168939582,0.09141914176137032,0.07180753105130547,ok,231.732,1475.358,,,,,,gru_ablation_revin_scheduler,False,False
,gru_l2_revin_seed40_ep50_full_merged_spf0p8_sc20_ss42,,,33.0,0.8389291782275095,0.8519827754789031,0.06734676611682283,0.07106076621325182,0.7618427168939582,0.09141914176137032,0.07180753105130547,,,,,,,,,,,
,gru_l2_seed40_ep50_full_merged_spf0p8_sc20_ss42,,,33.0,0.8389291782275095,0.8519827754789031,0.06734676611682283,0.07106076621325182,0.7618427168939582,0.09141914176137032,0.07180753105130547,,,,,,,,,,,
3.0,gru_small_grid_v1_t003_seed40_full_merged,0.2216163617859508,1970.072,20.0,0.8387599758748677,0.85221178702371,0.06577122804876068,0.06931161379779112,0.7548770892589388,0.08900434468994174,0.06999069478088643,ok,235.512,2205.587,,0.2,192.0,2.0,0.0003,gru_small_grid_v1,,
,in52_out16_ep50_bs4096_seed40_full_merged_r0_s0_spf0p9_sc20_ss42,,,14.0,0.8386921834629127,0.8514960979739103,0.06703327118607845,0.07031431917083543,0.7585423278429562,0.08828577145315121,0.07013851017146916,,,,,,,,,,,
,gru_l4_h192_bs4096_seed42_ep50,,,13.0,0.8383723932071222,0.8515181132796024,0.06774653829640223,0.07132771571230638,0.7528238328289312,0.0924209535100577,0.07432826153643719,,,,,,,,,,,
1.0,gru_small_grid_v2_t001_seed40_full_merged,0.2303948749355118,2459.916,14.0,0.8379544085331506,0.8510832535783965,0.06602702078770392,0.06945497888513293,0.7567780195309961,0.08776214086916699,0.06990165215033989,ok,251.112,2711.056,,0.2,192.0,4.0,0.0003,gru_small_grid_v2,,
6.0,gru_small_grid_v3_t006_seed40_full_merged,0.2303948749355118,2456.273,14.0,0.8379544085331506,0.8510832535783965,0.06602702078770392,0.06945497888513293,0.7567780195309961,0.08776214086916699,0.06990165215033989,ok,243.807,2700.083,,0.2,192.0,4.0,0.0003,gru_small_grid_v3,,
8.0,gru_small_grid_v2_t008_seed40_full_merged,0.2610970108196803,635.646,16.0,0.8367775538273303,0.8504771078901636,0.06679237269860225,0.07046675825489883,0.7504227091171912,0.09096812505495218,0.07267430127957167,ok,222.259,857.908,,0.2,256.0,2.0,0.0003,gru_small_grid_v2,,
2.0,gru_small_refine_v4_t002_seed40_full_merged,0.2401268077999997,2254.017,13.0,0.8365476588350788,0.850013295067068,0.06554547256054766,0.06894667949565797,0.7505203974577839,0.08767638747625867,0.06977583319593818,ok,276.232,2530.252,,0.2,192.0,4.0,0.00035,gru_small_refine_v4,,
1.0,gru_small_grid_v3_t001_seed40_full_merged,0.2401268077999997,2264.105,13.0,0.8365476588350788,0.850013295067068,0.06554547256054766,0.06894667949565797,0.7505203974577839,0.08767638747625867,0.06977583319593818,ok,240.032,2504.201,,0.2,192.0,4.0,0.00035,gru_small_grid_v3,,
7.0,gru_small_grid_v3_t007_seed40_full_merged,0.2207296491891021,2583.954,12.0,0.8358060638778295,0.8488059979277527,0.06797978396255863,0.07155622991644027,0.7531852725011603,0.0922651650440608,0.07325320223193148,ok,248.719,2832.676,,0.2,192.0,5.0,0.0004,gru_small_grid_v3,,
