id,is_outlier,mae,rmse,bias,n_obs_full,gws_iqr_full
LFU_39461225,False,1.3434358741422117,1.3567677548850536,1.3434358741422117,1076,0.25
LFU_28350010,False,1.343568222963077,1.3504214590833108,-1.343568222963077,1361,0.4499999999999993
LFU_34481536,False,1.3420994854926673,1.3493165111468641,-1.3420994854926673,2335,0.6700000000000017
LFU_34426005,False,1.3572435694793037,1.3605257304919633,-1.3160306601397942,2853,0.46999999999999886
LFU_31471820,False,1.2994592049263018,1.3015639384035278,1.2994592049263018,963,0.1999999999999993
LFU_45453266,False,1.3394237857805198,1.4908011575589266,-1.337060841724965,1160,1.2199999999999989
LFU_30472268,False,1.1575374110501546,1.1643170085200076,1.1575374110501546,1641,0.4299999999999997
LFU_34402050,False,1.1521455411627766,1.1585472944809214,-1.1521455411627766,2501,0.4499999999999993
LFU_26480022,False,1.1877024878992821,1.198796984673585,-1.1877024878992821,1282,0.35999999999999943
LFU_37530262,False,1.1450003680471705,1.18243894887511,-1.1450003680471705,3341,0.75
LFU_36441990,False,1.1170196921191977,1.1217482595424726,1.1170196921191977,1355,0.3000000000000007
LFU_29400520,False,1.1060418283565994,1.110285940527531,1.1060418283565994,1009,0.30000000000000426
LFU_28511204,False,1.0694566972664112,1.0744421189876765,-1.0694566972664112,2133,0.33999999999999986
LFU_38441727,False,1.0444575352951888,1.0471757390590941,1.0444575352951888,1022,0.269999999999996
LFU_31454608,False,1.0532317965243065,1.1007125693462452,-1.0532317965243065,2536,0.509999999999998
LFU_32464600,False,1.0619799593857817,1.0801879618792205,-1.0619799593857817,2536,0.592499999999994
LFU_29350020,False,0.9666748698162003,1.0339343974014559,0.9360978739919682,1210,0.7575000000000003
LFU_30370060,False,0.9455390460836762,0.9708243918880718,0.9455390460836762,1342,0.7174999999999976
LFU_29519026,False,0.9786067147821474,0.9886275877608312,-0.9786067147821474,2258,0.37749999999999995
LFU_35442250,False,0.9554164143896651,0.9607830544808337,0.9554164143896651,2953,0.8099999999999952
LFU_37451300,False,0.9242705253237303,0.9313813597230121,0.9242705253237303,2406,0.3400000000000034
LFU_40546034,False,0.9110563882066026,0.9191053081975583,-0.9110563882066026,1910,0.4200000000000017
LFU_35481611,False,0.8731919795791514,0.8864649016527207,0.8731919795791514,2379,0.3200000000000003
LFU_265210101,False,0.912617612830066,0.9191861705913945,0.912617612830066,1163,0.5549999999999997
LFU_27410250,False,0.8943922262225533,0.9172352621223001,0.8943922262225533,1341,0.2400000000000091
LFU_33452450,False,0.8524033567764852,0.8608742110339235,-0.8524033567764852,2719,0.23000000000000043
LFU_37441882,False,0.8484736990374633,0.8574533848352486,0.8484736990374633,2797,0.30999999999999517
LFU_31502025,False,0.868266528223475,0.8795999387632104,-0.868266528223475,1186,0.29000000000000004
LFU_30370047,False,0.8271689417727266,0.8334853335574591,0.8271689417727266,2677,0.3500000000000014
LFU_37413820,False,0.800938468179507,0.8092478751732249,-0.800938468179507,2379,0.28000000000000114
LFU_33465505,False,0.8016180792125309,0.8130435213002156,-0.8016180792125309,2536,0.3725000000000023
LFU_28350024,False,0.7608773944886443,0.7674550816005471,0.7608773944886443,1210,0.6199999999999974
LFU_34512423,False,0.757884901338859,0.7618946369272122,-0.757884901338859,1029,0.23000000000000043
LFU_33512275,False,0.7836304096505696,0.7894284338099341,-0.7836304096505696,1467,0.29000000000000004
LFU_32510209,False,0.7531645835352215,0.7810397548735512,-0.7531645835352215,1175,0.5300000000000002
LFU_31500975,False,0.7912002968074839,0.8615069492694791,-0.7912002968074839,3506,0.7374999999999998
LFU_38451286,False,0.7248992817191415,0.7470184358928658,0.7248992817191415,2914,0.25
LFU_38441785,False,0.7293008238182224,0.7318302139643547,-0.7293008238182224,2484,0.20000000000000284
LFU_32471958,False,0.7345217358085671,0.742545212820949,0.7345217358085671,1525,0.259999999999998
LFU_29370011,False,0.6296753955760471,0.6730019698538764,0.6296753955760471,1218,0.547500000000003
LFU_30438402,False,0.6337126911728775,0.6502286368055629,0.6337126911728775,2349,0.480000000000004
LFU_28438120,False,0.6151296807561089,0.6171562244716279,-0.6151296807561089,1457,0.28000000000000114
LFU_32462086,False,0.6127405024056412,0.615578208198443,0.6127405024056412,1107,0.23000000000000398
LFU_33392320,False,0.5497531501812487,0.6286883246648821,0.5456772370449197,2588,0.46999999999999886
LFU_42517003,False,0.5684404680042842,0.5809136683099438,0.5684404680042842,2737,0.37000000000000455
LFU_28401170,False,0.5302477674792989,0.6070242852266978,0.5295201088021109,1458,0.6599999999999966
LFU_29481334,False,0.5516738576041935,0.5609963495103332,-0.5516738576041935,1371,0.6300000000000026
LFU_33502240,False,0.5378983663071992,0.5436474580312682,0.5378983663071992,2939,0.33000000000000007
LFU_39549066,False,0.5137077570125165,0.5731291384917293,-0.49711424045432157,2905,0.6500000000000021
LFU_32512157,False,0.569116992813801,0.5986000840182424,-0.569116992813801,2639,0.7849999999999993
LFU_36441968,False,0.5334396335802337,0.5422430172223585,-0.5334396335802337,2953,0.529999999999994
LFU_30460969,False,0.5301587938310645,0.5353603667385989,-0.5301587938310645,2379,0.9699999999999989
LFU_28438014,False,0.4982717212706853,0.5120609166776003,-0.4982717212706853,2379,0.09000000000000341
LFU_38431580,False,0.501516408727516,0.510177578611856,-0.501516408727516,2348,0.18999999999999773
LFU_38441739,False,0.516650988101847,0.5261928136450245,-0.516650988101847,2291,0.23999999999999488
LFU_31481186,False,0.498721527290976,0.5011742121705105,0.498721527290976,2084,0.20250000000000057
LFU_31464501,False,0.47667747859602166,0.5069975460546531,0.47667747859602166,2536,0.20000000000000284
LFU_35535245,False,0.5183478079534163,0.5383630405316432,-0.5183478079534163,966,0.3600000000000012
LFU_34512427,False,0.5019270616284895,0.5123219466251833,-0.5019270616284895,2675,0.2600000000000007
LFU_32419880,False,0.4514255464108866,0.46045304627337647,-0.4514255464108866,2536,0.4399999999999977
LFU_35532630,False,0.41661316524257663,0.4473691163893642,0.4150676635685553,2714,0.28000000000000114
LFU_40496317,False,0.39807513047885823,0.4197630119827483,0.39807513047885823,1932,0.3399999999999963
LFU_28438063,False,0.3997898065931319,0.4220546422027827,-0.3997898065931319,2379,0.1699999999999946
LFU_34416018,False,0.3946565589296062,0.4045822251410392,-0.3946565589296062,2141,0.6199999999999974
LFU_42516181,False,0.3855402730287576,0.3890030574927748,0.3855402730287576,1118,0.21999999999999886
LFU_34481534,False,0.37602485863040774,0.40163423934571585,-0.373786232480619,2335,0.6599999999999966
LFU_33522336,False,0.37888546224424635,0.3966776840413044,-0.37888546224424635,2773,0.5
LFU_37431579,False,0.37169959220844184,0.3829382699062043,-0.37169959220844184,2879,0.45999999999999375
LFU_37441838,False,0.3421386682425514,0.34645588535644584,0.3421386682425514,2484,0.20000000000000284
LFU_31445105,False,0.32083592909560327,0.33635993365764066,-0.32083592909560327,1319,0.29999999999999716
LFU_26390040,False,0.35228238025398734,0.40429982064267145,-0.33323907524560653,1222,0.20000000000000284
LFU_31419709,False,0.32377155614383873,0.3449044618929629,0.32377155614383873,2536,0.5399999999999991
LFU_33427310,False,0.40888842050834656,0.5301743831641085,-0.31664844380896023,1009,0.8299999999999983
LFU_35432435,False,0.380134667634742,0.451621888490528,0.3787679025966855,1684,0.14999999999999858
LFU_35416168,False,0.30703098806654183,0.3304074734438288,-0.30703098806654183,2514,0.360000000000003
LFU_32455411,False,0.2716645506137454,0.2925910328681883,-0.2708970566319338,2536,0.29999999999999716
LFU_31502036,False,0.2574873385593564,0.28453926651875205,0.25722285466731487,1179,0.33999999999999986
LFU_30401383,False,0.28945421729921017,0.30571840712712284,0.28945421729921017,1012,0.2325000000000017
LFU_32445001,False,0.2924334195798442,0.31498095159974704,0.2924334195798442,2418,0.47000000000000597
LFU_40506355,False,0.2619093674797063,0.26859142423785526,-0.2619093674797063,2849,0.7000000000000028
LFU_33455011,False,0.22124647473347117,0.2603618556307962,-0.20400317039664745,1639,0.3949999999999996
LFU_33452451,False,0.2531503952012212,0.31124176209145954,-0.23459002721774894,2719,0.620000000000001
LFU_40496307,False,0.2099472776000311,0.23456633397249146,0.20552551439197386,2797,0.30000000000000426
LFU_27511009,False,0.25092607820017887,0.2957152145162354,-0.23478555997520295,2171,0.3299999999999983
LFU_34447012,False,0.24993853129176175,0.3031437286123293,0.2496731766606697,1315,0.4700000000000024
LFU_30463569,False,0.21922026631910113,0.25638228261681384,0.203146086588034,2390,0.5399999999999991
LFU_33437220,False,0.25034636192962556,0.2824075474548753,-0.25034636192962556,2766,0.5199999999999996
LFU_28400252,False,0.2217463025741581,0.254513064217981,0.22123221037973442,2536,0.9100000000000108
LFU_33427520,False,0.3663074701700443,0.7674206197671382,-0.22437872384968036,1239,0.8449999999999989
LFU_36471636,False,0.21060628343797716,0.21462327415643148,0.21060628343797716,1629,0.3300000000000054
LFU_32502126,False,0.24744674367158195,0.32844072015204245,0.08960526332567054,2796,0.20249999999999968
LFU_33522333,False,0.24654849580717922,0.31731629941122774,0.08445303105449321,2663,0.8300000000000001
LFU_32512169,False,0.1837190555765444,0.2067036335507353,0.18211053290470264,2088,0.3600000000000003
LFU_34532500,False,0.201885709413421,0.237602057367181,0.2016222650665915,1959,0.28999999999999915
LFU_37539048,False,0.18651259399406997,0.202546035367042,0.18234556376208308,2947,0.2049999999999983
LFU_29410650,False,0.19283104858121047,0.2074022390530849,-0.1845505291692482,1053,0.6300000000000026
LFU_29501405,False,0.18725773736035026,0.20144381040120488,-0.1861812465837391,1175,0.7899999999999991
LFU_30476001,False,0.17602739844061474,0.194760410172385,0.17388420221652484,1410,0.4100000000000037
LFU_36451341,False,0.17884465462670518,0.20427223194757194,0.12644749503215022,1841,0.4000000000000057
LFU_30429750,False,0.18076349968186564,0.21821876172771737,-0.10679441996366305,1023,0.28000000000000114
LFU_30491512,False,0.1705739847673306,0.18675158717562929,-0.1705739847673306,2917,0.29999999999999716
LFU_43473636,False,0.1703939521041491,0.19858693577869524,-0.15793164526234132,2798,0.38999999999998636
LFU_33452454,False,0.18672622275243547,0.21719562828334235,0.17669209905672423,2719,0.4599999999999973
LFU_36441950,False,0.1848603978749138,0.2189824809577631,0.08667484629162182,1376,0.3299999999999983
LFU_36441946,False,0.165969336640729,0.20363328397601832,0.1452977947192925,2627,0.529999999999994
LFU_40496316,False,0.12880679501890646,0.15174486834067163,-0.10636557274853241,2745,0.2700000000000031
LFU_32512144,False,0.15048825618940453,0.15858300318414734,0.15048825618940453,2807,0.31000000000000005
LFU_39451179,False,0.16959370680272517,0.2071090983808133,0.16884993937496653,2914,0.2700000000000031
LFU_30370039,False,0.15191472446184778,0.18272898259259868,-0.11887035409526203,2679,0.4800000000000004
LFU_32522181,False,0.14064140947125217,0.16060617298690466,-0.1405532287259395,2777,0.3799999999999999
LFU_31419710,False,0.14590239509612402,0.1812240474762729,-0.136018750470125,2536,0.5799999999999983
LFU_39431452,False,0.12387540439645221,0.1406139324094844,0.12341270910758759,2458,0.19750000000000512
LFU_26390030,False,0.1434687335803211,0.17518963948517172,-0.14301769794628316,1231,0.4450000000000074
LFU_31502069,False,0.09799232193407856,0.11649514363742301,0.02784081026566143,2639,0.3350000000000002
LFU_32512152,False,0.10039450588528645,0.11701041455850388,-0.09953767439495857,2729,0.29000000000000004
LFU_32502128,False,0.09416999082735922,0.11105549782403365,-0.07038462299494419,2771,0.2100000000000002
LFU_33512289,False,0.10278477474576612,0.12056142784900943,0.07634755233643156,2671,0.4400000000000004
LFU_37529010,False,0.08417569997402903,0.10167432575651593,-0.08251641242198182,1441,0.17999999999999972
LFU_37431606,False,0.08718837866689087,0.1065949868194775,-0.08590138551915463,2019,0.3200000000000003
LFU_31449105,False,0.11138474966591984,0.14598686921204507,-0.09345680245683548,2536,0.5500000000000043
LFU_34396780,False,0.08882514459442467,0.12665891638666718,0.005679005227557046,1022,0.297500000000003
LFU_35406530,False,0.06427969384374409,0.07409636574901271,-0.02800368829705675,1845,0.2699999999999996
LFU_38431585,False,0.06957989081729055,0.08893865191070167,0.04709680707979692,2724,0.17999999999999972
LFU_31471812,False,0.06827952606133506,0.08345901554114747,0.06439036200604754,1116,0.14999999999999858
